"Name", "Stmts", "Miss", "Cover"
"gen_riscv/__init__.py", "8", "0", "100%"
"gen_riscv/core/__init__.py", "9", "0", "100%"
"gen_riscv/core/model/__init__.py", "9", "0", "100%"
"gen_riscv/core/model/project_setup.py", "14", "0", "100%"
"gen_riscv/core/service/__init__.py", "9", "0", "100%"
"gen_riscv/core/service/engine.py", "27", "3", "89%"
"gen_riscv/core/service/iservice.py", "16", "2", "88%"
"gen_riscv/core/service/isubprocessor.py", "16", "2", "88%"
"gen_riscv/engine.py", "57", "0", "100%"
"gen_riscv/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_riscv/infrastructure/cli/engine.py", "39", "7", "82%"
"gen_riscv/infrastructure/cli/icli.py", "16", "2", "88%"
"gen_riscv/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_riscv/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"gen_riscv/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"gen_riscv/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_riscv/infrastructure/cli/setup/factory.py", "32", "0", "100%"
"gen_riscv/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_riscv/infrastructure/cli/setup/opt_validator.py", "28", "0", "100%"
"gen_riscv/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_riscv/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"gen_riscv/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"gen_riscv/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_riscv/infrastructure/command/command.py", "16", "0", "100%"
"gen_riscv/infrastructure/command/gen_riscv_command_definition.py", "24", "1", "96%"
"gen_riscv/infrastructure/command/gen_riscv_command_executor.py", "21", "2", "90%"
"gen_riscv/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"gen_riscv/infrastructure/command/icommand_executor.py", "14", "1", "93%"
"gen_riscv/infrastructure/subprocessor.py", "57", "20", "65%"
"gen_riscv/setup/__init__.py", "9", "0", "100%"
"gen_riscv/setup/bundle.py", "23", "1", "96%"
"gen_riscv/setup/dep_validator.py", "28", "0", "100%"
"gen_riscv/setup/dependencies.py", "19", "0", "100%"
"gen_riscv/setup/factory.py", "45", "1", "98%"
"gen_riscv/setup/keys.py", "27", "1", "96%"
"gen_riscv/setup/opt_validator.py", "26", "9", "65%"
"gen_riscv/setup/options.py", "12", "0", "100%"
"gen_riscv/setup/registry.py", "29", "0", "100%"
"gen_riscv/setup/validator.py", "40", "0", "100%"
"Total", "877", "53", "94%"
